"","Community","community_area_number","property_type","zip_code","affordable_units_no","x_coordinate","y_coordinate","latitude","longitude","location"
"162","Oakland",36,"Multifamily",60653,3,1184335.357,1877697.183,41.8195725,-87.59929085,"(41.8195724963981, -87.599290845931)"
"163","Logan Square",22,"ARO",60647,2,1158984.036,1915825.244,41.92475626,-87.69124357,"(41.9247562570513, -87.6912435686367)"
"164","West Town",24,"ARO",60622,2,1160270.739,1906410.572,41.89889515,-87.68677643,"(41.8988951503, -87.6867764252445)"
"165","Uptown",3,"Multifamily",60640,41,1166646.838,1931640.345,41.96799271,-87.66263241,"(41.967992712996, -87.662632408711)"
"166","East Garfield Park",27,"Multifamily",60612,143,1158623.238,1899872.888,41.88098907,-87.69300683,"(41.880989071675494, -87.69300683002724)"
"167","Near North Side",8,"ARO",60610,41,1174106.104,1907721.573,41.90219524,-87.63592092,"(41.9021952433121, -87.6359209163654)"
"168","Avondale",21,"Supportive Housing",60618,32,1151100.782,1920108.203,41.93666739,-87.72009772,"(41.936667386198, -87.7200977199175)"
"169","Portage Park",15,"ARO",60630,4,1140755.027,1931358.401,41.96773575,-87.75784248,"(41.9677357509555, -87.7578424774051)"
"170","Woodlawn",42,"Multifamily",60637,55,1182683.987,1863507.307,41.78067286,-87.60578926,"(41.7806728614192, -87.605789255575)"
"171","Grand Boulevard",38,"Senior",60653,24,1179612.436,1876628.605,41.81674964,-87.61664895,"(41.8167496438949, -87.6166489474972)"
"172","Near South Side",33,"Senior",60616,127,1178501.162,1887204.44,41.8457959,-87.62040337,"(41.8457959044222, -87.6204033747469)"
"173","Belmont Cragin",19,"Senior",60641,70,1143845.624,1918889.671,41.93346293,-87.74679225,"(41.9334629305796, -87.7467922468114)"
"174","Uptown",3,"ARO",60640,1,1168764.798,1929620.837,41.96240536,-87.65490367,"(41.9624053580997, -87.6549036656042)"
"175","Portage Park",15,"Senior",60641,98,1144211.767,1927249.554,41.95639632,-87.74523589,"(41.9563963215946, -87.7452358895033)"
"176","Lincoln Park",7,"Senior",60647,92,1161966.806,1918094.527,41.9309215,-87.68022005,"(41.93092150251976, -87.6802200458293)"
"177","Lower West Side",31,"Senior",60608,5,1170051.208,1890349.587,41.85461476,-87.65132209,"(41.8546147585411, -87.651322092184)"
"178","Englewood",68,"Senior",60621,140,1175681.092,1861260.691,41.77466762,-87.6315302,"(41.7746676246895, -87.6315301981577)"
"179","Edgewater",77,"Senior",60660,93,1168565.916,1938087.01,41.9856411,-87.65538854,"(41.9856410954285, -87.6553885441269)"
"180","Lincoln Square",4,"ARO",60625,2,1160316.674,1931793.44,41.96854643,-87.68590367,"(41.9685464338003, -87.6859036700814)"
"181","Lake View",6,"ARO",60657,4,1169303.308,1921391.341,41.93981159,-87.65316391,"(41.9398115920219, -87.6531639140428)"
"182","Hyde Park",41,"ARO",60615,2,1186745.04,1870451.785,41.7996338,-87.59068096,"(41.7996337978199, -87.5906809634112)"
"183","East Garfield Park",27,"ARO",60612,6,1157506.128,1898074.933,41.87607811,-87.69715773,"(41.8760781065366, -87.697157729784)"
"184","Douglas",35,"Multifamily",60653,36,1180285.065,1879269.849,41.823982,-87.6141005,"(41.82398200091408, -87.61410050373568)"
"185","Humboldt Park",23,"Multifamily",60647,6,1152581.854,1911572.616,41.91321582,-87.71488081,"(41.9132158158413, -87.7148808096933)"
"186","Near West Side",28,"ARO",60607,59,1170456.22,1900198.154,41.88163114,-87.6495476,"(41.8816311368659, -87.6495475984714)"
"187","Near West Side",28,"Multifamily",60612,84,1162403.567,1898857.889,41.87812559,-87.67915413,"(41.8781255904191, -87.6791541270768)"
"188","Logan Square",22,"ARO",60647,1,1160209.209,1912752.486,41.91629912,-87.68682686,"(41.9162991247465, -87.6868268599609)"
"189","Oakland",36,"Multifamily",60653,3,1184153.699,1877418.813,41.81881289,-87.59996595,"(41.8188128855705, -87.5999659460719)"
"190","North Lawndale",29,"Multifamily",60608,29,1158519.57,1894367.8,41.8658847,-87.69353817,"(41.8658846962216, -87.6935381672971)"
"191","Humboldt Park",23,"Disabled/Homeless",60651,13,1152439.724,1905064.22,41.89535898,-87.71557516,"(41.8953589752887, -87.7155751575776)"
"192","Logan Square",22,"ARO",60647,2,1159990.635,1912594.267,41.91586948,-87.68763427,"(41.9158694795437, -87.687634267083)"
"193","East Garfield Park",27,"Supportive Housing",60624,152,1154287.339,1900828.13,41.88369802,-87.7089025,"(41.8836980221101, -87.7089025001699)"
"194","Oakland",36,"Multifamily",60653,3,1184422.552,1877469.629,41.81894603,-87.59897812,"(41.818946027635, -87.5989781156333)"
"195","Humboldt Park",23,"Multifamily",60651,18,1154584.663,1907840.061,41.90293349,-87.70762292,"(41.902933489753, -87.7076229237995)"
"196","North Center",5,"Multifamily",60647,91,1162519.715,1918635.418,41.93239416,-87.67817303,"(41.9323941640369, -87.6781730308775)"
"197","Near North Side",8,"SRO",60610,148,1175171.338,1908308.392,41.90378167,-87.63199057,"(41.9037816711229, -87.6319905715935)"
"198","Near West Side",28,"Mutifamily",60607,160,1167380.111,1894854.611,41.86703473,-87.66099661,"(41.867034733075485, -87.66099661076092)"
"199","Belmont Cragin",19,"Senior",60639,98,1138952.214,1918027.352,41.93118709,-87.76479651,"(41.93118709471326, -87.76479650741335)"
